Umywalki -- Wymiary przyłączeniowe,PN-EN 31+A1:2014-07,{'PN-EN 31:2011'}
Kleje do połączeń konstrukcyjnych -- Korozja -- Część 2: Oznaczanie i klasyfikacja oddziaływania korozyjnego na podłoże z mosiądzu,PN-EN 1965-2:2011,{'PN-EN 1965-2:2004'}
Kleje do połączeń konstrukcyjnych -- Charakterystyka powierzchni przez pomiar przyczepności metodą zginania w trzech punktach,PN-EN 1966:2009,{'PN-EN 1966:2004'}
Lotnictwo i kosmonautyka -- Guma z kauczuku butadienowo-akrylonitrylowego (NBR) -- Twardość 40 IRHD,PN-EN 2104:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku silikonowego (VMQ) -- Twardość 50 IRHD,PN-EN 2259:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku silikonowego (VMQ) -- Twardość 60 IRHD,PN-EN 2260:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku silikonowego (VMQ) -- Twardość 70 IRHD,PN-EN 2261:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku silikonowego (VMQ/PVMQ) o wysokiej wytrzymałości na rozdzieranie -- Twardość 50 IRHD,PN-EN 2262:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku etylenowo-propylenowego (EPM/EPDM) -- Twardość 50 IRHD,PN-EN 2428:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku etylenowo-propylenowego (EPM/EPDM) -- Twardość 60 IRHD,PN-EN 2429:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku etylenowo-propylenowego (EPM/EPDM) -- Twardość 70 IRHD,PN-EN 2430:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku etylenowo-propylenowego (EPM/EPDM) -- Twardość 80 IRHD,PN-EN 2431:1999,set()
Lotnictwo i kosmonautyka -- Guma z kauczuku etylenowo-propylenowego (EPM/EPDM) -- Twardość 90 IRHD,PN-EN 2432:1999,set()
Lotnictwo i kosmonautyka -- Tworzywa sztuczne wzmocnione włóknem węglowym -- Laminaty jednokierunkowe -- Badanie zginania równolegle do kierunku włókien,PN-EN 2562:2001,set()
Lotnictwo i kosmonautyka -- Tworzywa sztuczne wzmocnione włóknem węglowym -- Laminaty jednokierunkowe -- Próba rozciągania prostopadle do kierunku włókna,PN-EN 2597:2001,set()
Lotnictwo i kosmonautyka -- Tworzywa sztuczne wzmocnione włóknem szklanym -- Badanie zginania -- Metoda trzypunktowa,PN-EN 2746:2001,set()
Lotnictwo i kosmonautyka -- Tworzywa sztuczne wzmocnione włóknem szklanym -- Próba rozciągania,PN-EN 2747:2001,set()
Lotnictwo i kosmonautyka -- Metoda badania środków smarowych tworzących suchy film -- Badanie korozji na płytkach stalowych,PN-EN 3026:2000,set()
Lotnictwo i kosmonautyka -- Metoda badania środków smarowych tworzących suchy film -- Badanie z mgłą solną,PN-EN 3027:2000,set()
Lotnictwo i kosmonautyka -- Metoda badania środków smarowych tworzących suchy film -- Zawartość substancji stałych,PN-EN 3030:2000,set()
Lotnictwo i kosmonautyka -- Metoda badania środków smarowych tworzących suchy film -- Pomiar grubości,PN-EN 3032:2000,set()
Lotnictwo i kosmonautyka -- Mieszanki gumowe -- Wymagania techniczne,PN-EN 3207:1999,set()
Kolorymetria -- Część 1: Standardowi obserwatorzy kolorymetryczni CIE,PN-EN ISO/CIE 11664-1:2019-08,"{'PN-EN ISO 11664-1:2011/Ap1:2017-07', 'PN-EN ISO 11664-1:2011'}"
Kolorymetria – Część 3: Składowe trójchromatyczne CIE,PN-EN ISO/CIE 11664-3:2019-08,{'PN-EN ISO 11664-3:2013-08'}
Kolorymetria -- Część 4: Przestrzeń barw CIE 1976 L_a_b_,PN-EN ISO/CIE 11664-4:2019-08,{'PN-EN ISO 11664-4:2011'}
"Kleje do płytek ceramicznych -- Część 1: Wymagania, ocena i weryfikacja stałości właściwości użytkowych, klasyfikacja i znakowanie",PN-EN 12004-1:2017-03,{'PN-EN 12004+A1:2012'}
"Kleje do płytek ceramicznych -- Część 1: Wymagania, ocena i weryfikacja stałości właściwości użytkowych, klasyfikacja i znakowanie",PN-EN 12004-1:2017-03,{'PN-EN 12004+A1:2012'}
Kleje do płytek ceramicznych -- Część 2: Metody badań,PN-EN 12004-2:2017-03,"{'PN-EN 12002:2010', 'PN-EN 12003:2010', 'PN-EN 1308:2008', 'PN-EN 1348:2008', 'PN-EN 1346:2008', 'PN-EN 1324:2008', 'PN-EN 1323:2008'}"
Kleje do płytek ceramicznych -- Część 2: Metody badań,PN-EN 12004-2:2017-03,"{'PN-EN 12002:2010', 'PN-EN 12003:2010', 'PN-EN 1308:2008', 'PN-EN 1348:2008', 'PN-EN 1346:2008', 'PN-EN 1324:2008', 'PN-EN 1323:2008'}"
Taśmy samoprzylepne -- Pomiar przenikalności pary wodnej w wysokiej wilgotności i temperaturze,PN-EN 12023:1999,set()
Taśmy samoprzylepne -- Pomiar odporności na podwyższoną temperaturę i wilgotność,PN-EN 12024:1999,set()
Taśmy samoprzylepne -- Pomiar odporności na przedarcie metodą wahadła,PN-EN 12025:1999,set()
Taśmy samoprzylepne -- Pomiar siły odwijania przy dużej prędkości,PN-EN 12026:1999,set()
Taśmy samoprzylepne -- Pomiar odporności na palność,PN-EN 12027:1999,{'PN-C-89259:1997'}
Taśmy samoprzylepne -- Pomiar wydłużenia w wyniku statycznego obciążenia,PN-EN 12028:1999,set()
Taśmy samoprzylepne -- Oznaczanie jonów korozyjnych rozpuszczalnych w wodzie,PN-EN 12029:1999,set()
Taśmy samoprzylepne -- Pomiar odporności na uderzenie,PN-EN 12030:1999,set()
Taśmy samoprzylepne -- Pomiar wytrzymałości na przepuklenie,PN-EN 12031:1999,set()
Taśmy samoprzylepne -- Pomiar wiązania taśm przylepnych z klejem termoutwardzalnym podczas sieciowania,PN-EN 12032:1999,set()
Taśmy samoprzylepne -- Pomiar wiązania taśm przylepnych z klejem termoutwardzalnym po usieciowaniu,PN-EN 12033:1999,set()
Taśmy samoprzylepne -- Pomiar długości zwoju taśmy przylepnej,PN-EN 12034:1999,set()
Taśmy samoprzylepne -- Pomiar efektu chorągiewki taśmy przylepnej,PN-EN 12035:1999,set()
Taśmy samoprzylepne -- Pomiar penetracji rozpuszczalnika w maskujące taśmy przylepne,PN-EN 12036:1999,set()
Nawozy stałe -- Pomiar statycznego kąta zsypu naturalnego,PN-EN 12047:1999,set()
Nawozy stałe i środki wapnujące -- Oznaczanie zawartości wilgoci -- Metoda wagowa z suszeniem w temperaturze (105+-2) stopni C,PN-EN 12048:1999,set()
Kolejnictwo -- Maźnice -- Smary,PN-EN 12081:2017-10,{'PN-EN 12081+A1:2011'}
Kolejnictwo -- Maźnice -- Smary,PN-EN 12081:2017-10,{'PN-EN 12081+A1:2011'}
Kleje -- Oznaczanie lepkości,PN-EN 12092:2004,{'PN-EN 12092:2002'}
Systemy przewodowe z tworzyw sztucznych -- Uchwyty do systemów przewodowych stosowanych do odprowadzania wody deszczowej -- Metoda badania wytrzymałości uchwytu,PN-EN 12095:2001,set()
Systemy przewodów rurowych z tworzyw sztucznych -- Materiały i elementy rurociągu z polietylenu -- Oznaczanie zawartości części lotnych,PN-EN 12099:2002,set()
Systemy przewodów rurowych z tworzyw sztucznych -- Zawory z polietylenu (PE) -- Metoda badania odporności na ugięcie pomiędzy punktami podparcia,PN-EN 12100:2002,set()
Systemy przewodów rurowych z tworzyw sztucznych -- Rury z polietylenu (PE) -- Metoda badania wytrzymałości na ciśnienie wewnętrzne po zastosowaniu zacisku,PN-EN 12106:2002,set()
Węże i przewody z gumy i z tworzyw termoplastycznych do chemikaliów ciekłych lub gazowych -- Wymagania,PN-EN 12115:2011,"{'PN-EN 12115:2003/Ap1:2004', 'PN-EN 12115:2003'}"
Systemy przewodów rurowych z tworzyw sztucznych -- Oznaczanie zawartości wilgoci w tworzywach termoplastycznych metodą kulometryczną,PN-EN 12118:2002,set()
Systemy przewodów rurowych z tworzyw sztucznych -- Zawory z polietylenu (PE) -- Metoda badania odporności na cykliczne zmiany temperatury,PN-EN 12119:2002,{'PN-EN 12119:2002'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Wodorosiarczan(IV) sodu,PN-EN 12120:2013-04,{'PN-EN 12120:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Disiarczan(IV) sodu,PN-EN 12121:2013-04,{'PN-EN 12121:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Woda amoniakalna,PN-EN 12122:2005,{'PN-EN 12122:2001'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Siarczan(VI) amonu,PN-EN 12123:2013-05,{'PN-EN 12123:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Siarczan(IV) sodu,PN-EN 12124:2013-05,{'PN-EN 12124:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Tiosiarczan sodu,PN-EN 12125:2013-05,{'PN-EN 12125:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Amoniak skroplony,PN-EN 12126:2013-04,{'PN-EN 12126:2006'}
Środki powierzchniowo czynne -- Oznaczanie całkowitej zawartości glikolu polietylenowego w niejonowych środkach powierzchniowo czynnych (oksyetylenowanych) za pomocą HPLC/GPC,PN-EN 12139:2001,set()
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Fluorek sodu,PN-EN 12173:2013-04,{'PN-EN 12173:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Heksafluorokrzemian sodu,PN-EN 12174:2013-06,{'PN-EN 12174:2006'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Kwas heksafluorokrzemowy,PN-EN 12175:2013-06,{'PN-EN 12175:2006'}
Ciekłe przetwory naftowe -- Benzyna bezołowiowa -- Oznaczanie zawartości benzenu metodą chromatografii gazowej,PN-EN 12177:2003,{'PN-EN 12177:2002'}
"Systemy przewodów rurowych z tworzyw sztucznych do wody deszczowej do zewnętrznego zastosowania ponad ziemią -- Nieplastyfikowany poli(chlorek winylu) (PVC-U) -- Część 1: Wymagania dotyczące rur, kształtek i systemu",PN-EN 12200-1:2016-05,{'PN-EN 12200-1:2002'}
"Systemy przewodów rurowych z tworzyw sztucznych do wody deszczowej do zewnętrznego zastosowania ponad ziemią -- Nieplastyfikowany poli(chlorek winylu) (PVC-U) -- Część 1: Wymagania dotyczące rur, kształtek i systemu",PN-EN 12200-1:2016-05,{'PN-EN 12200-1:2002'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 1: Postanowienia ogólne,PN-EN 12201-1:2012,{'PN-EN 12201-1:2011'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 2: Rury,PN-EN 12201-2+A1:2013-12,{'PN-EN 12201-2:2012'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 2: Rury,PN-EN 12201-2+A1:2013-12,{'PN-EN 12201-2:2012'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 3: Kształtki,PN-EN 12201-3+A1:2013-05,{'PN-EN 12201-3:2012'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 3: Kształtki,PN-EN 12201-3+A1:2013-05,{'PN-EN 12201-3:2012'}
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 4: Armatura,PN-EN 12201-4:2012,"{'PN-EN 13244-4:2004', 'PN-EN 12201-4:2004'}"
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody i do ciśnieniowego odwadniania i kanalizacji -- Polietylen(PE) -- Część 4: Armatura do systemów przesyłania wody,PN-EN 12201-4:2012,"{'PN-EN 13244-4:2004', 'PN-EN 12201-4:2004'}"
Systemy przewodów rurowych z tworzyw sztucznych do przesyłania wody oraz do ciśnieniowej kanalizacji deszczowej i sanitarnej -- Polietylen (PE) -- Część 5: Przydatność systemu do stosowania,PN-EN 12201-5:2012,{'PN-EN 12201-5:2011'}
Farby i lakiery -- Powłoki na aluminium i na stopy aluminium dla budownictwa -- Część 1: Powłoki z farb proszkowych,PN-EN 12206-1:2005,{'PN-EN 12206-1:2005'}
Techniczna ceramika zaawansowana -- Właściwości mechaniczne kompozytów ceramicznych w temperaturze otoczenia -- Oznaczanie właściwości przy ścinaniu płaskim,PN-EN 12289:2006,{'PN-EN 12289:2005'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Siarczan(VI) miedzi(II),PN-EN 12386:2013-04,{'PN-EN 12386:2005'}
Kleje do drewnianych konstrukcji nośnych -- Kleje kazeinowe -- Klasyfikacja i wymagania użytkowe,PN-EN 12436:2004,{'PN-EN 12436:2002'}
Środki powierzchniowo czynne -- Oznaczanie trwałości w twardej wodzie,PN-EN 12458:2001,{'PN-C-04802:1966'}
Taśmy samoprzylepne -- Terminologia,PN-EN 12481:2002,set()
"Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Węglan wapnia, wapno wysokowapniowe, dolomit prażony, tlenek magnezu, węglan magnezu wapnia oraz wapno dolomitowe -- Metody badań",PN-EN 12485:2017-08,{'PN-EN 12485:2010'}
Trwałość drewna i materiałów drewnopochodnych -- Drewno lite nasycone środkiem ochrony -- Oznaczanie wnikania i retencji kreozotu w nasyconym drewnie,PN-EN 12490:2012,{'PN-EN 12490:2010'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Wapno wysokowapniowe,PN-EN 12518:2014-10,{'PN-EN 12518:2008'}
"Tworzywa sztuczne -- Kompozyty wzmocnione włóknem -- Przygotowanie płyt do badań z SMC, BMC i DMC metodą prasowania",PN-EN 12576:2002,{'PN-EN 12576:2002'}
Środki powierzchniowo czynne -- Oznaczanie zawartości glikolu polietylenowego na podstawie masy cząsteczkowej w niejonowych środkach powierzchniowo czynnych (oksyetylenowanych) za pomocą HPLC/ELSD,PN-EN 12582:2001,set()
Asfalty i lepiszcza asfaltowe -- Wymagania dla asfaltów drogowych,PN-EN 12591:2010,{'PN-EN 12591:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie rozpuszczalności,PN-EN 12592:2014-12,"{'PN-EN 12592:2009', 'PN-EN 12592:2009/Ap1:2009'}"
Asfalty i lepiszcza asfaltowe -- Oznaczanie rozpuszczalności,PN-EN 12592:2014-12,"{'PN-EN 12592:2009', 'PN-EN 12592:2009/Ap1:2009'}"
Asfalty i lepiszcza asfaltowe -- Oznaczanie temperatury łamliwości Fraassa,PN-EN 12593:2015-08,{'PN-EN 12593:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie temperatury łamliwości metodą Fraassa,PN-EN 12593:2015-08,{'PN-EN 12593:2009'}
Asfalty i lepiszcza asfaltowe -- Przygotowanie próbek do badań,PN-EN 12594:2014-12,{'PN-EN 12594:2009'}
Asfalty i lepiszcza asfaltowe -- Przygotowanie próbek do badań,PN-EN 12594:2014-12,{'PN-EN 12594:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie lepkości kinematycznej,PN-EN 12595:2014-12,{'PN-EN 12595:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie lepkości kinematycznej,PN-EN 12595:2014-12,{'PN-EN 12595:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie lepkości dynamicznej metodą próżniowej kapilary,PN-EN 12596:2014-12,{'PN-EN 12596:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie lepkości dynamicznej metodą próżniowej kapilary,PN-EN 12596:2014-12,{'PN-EN 12596:2009'}
Asfalty i lepiszcza asfaltowe -- Terminologia,PN-EN 12597:2014-07,{'PN-EN 12597:2003'}
Asfalty i lepiszcza asfaltowe -- Terminologia,PN-EN 12597:2014-07,{'PN-EN 12597:2003'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie zawartości parafiny -- Część 1: Metoda destylacji,PN-EN 12606-1:2015-08,{'PN-EN 12606-1:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie zawartości parafiny -- Część 1: Metoda destylacji,PN-EN 12606-1:2015-08,{'PN-EN 12606-1:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie zawartości parafiny -- Cześć 2: Metoda ekstrakcji,PN-EN 12606-2:2002,set()
Asfalty i produkty asfaltowe -- Oznaczanie zawartości parafiny -- Część 2: Metoda ekstrakcyjna,PN-EN 12606-2:2002,set()
Asfalty i lepiszcza asfaltowe -- Oznaczanie odporności na starzenie pod wpływem ciepła i powietrza -- Część 1: Metoda RTFOT,PN-EN 12607-1:2014-12,{'PN-EN 12607-1:2009'}
Asfalty i lepiszcza asfaltowe - Oznaczanie odporności na starzenie pod wpływem ciepła i powietrza - Część 1: Metoda RTFOT,PN-EN 12607-1:2014-12,{'PN-EN 12607-1:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie odporności na starzenie pod wpływem ciepła i powietrza -- Część 2: Metoda TFOT,PN-EN 12607-2:2014-12,{'PN-EN 12607-2:2010'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie odporności na starzenie pod wpływem ciepła i powietrza -- Część 2: Metoda TFOT,PN-EN 12607-2:2014-12,{'PN-EN 12607-2:2010'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie odporności na starzenie pod wpływem ciepła i powietrza -- Część 3: Metoda RFT,PN-EN 12607-3:2014-12,{'PN-EN 12607-3:2010'}
"Kształtowniki z nieplastyfikowanego poli(chlorku winylu) (PVC-U) do produkcji okien i drzwi -- Klasyfikacja, wymagania i metody badań -- Część 1: Niepowlekane kształtowniki z PVC-U o powierzchniach w jasnych kolorach",PN-EN 12608-1:2016-04,{'PN-EN 12608:2004'}
Oznakowanie wizualnie ostrzegające z tworzyw sztucznych stosowane podzas układania kabli i rurociągów podziemnych,PN-EN 12613:2010,{'PN-EN 12613:2009'}
Przetwory naftowe i środki smarowe -- Oznaczanie liczby kwasowej -- Metoda miareczkowania potencjometrycznego w środowisku niewodnym,PN-EN 12634:2002,set()
Przetwory naftowe i smarowe -- Oznaczanie liczby kwasowej -- Metoda miareczkowania potencjometrycznego w środowisku niewodnym,PN-EN 12634:2002,set()
"Ciekłe przetwory naftowe -- Oznaczanie całkowitej zawartości zanieczyszczeń w średnich destylatach, olejach napędowych oraz estrach metylowych kwasów tłuszczowych",PN-EN 12662:2014-05,"{'PN-EN 12662:2009', 'PN-EN 12662:2009/Ap1:2010'}"
"Ciekłe przetwory naftowe -- Oznaczanie całkowitej zawartości zanieczyszczeń w średnich destylatach, olejach napędowych oraz estrach metylowych kwasów tłuszczowych",PN-EN 12662:2014-05,"{'PN-EN 12662:2009', 'PN-EN 12662:2009/Ap1:2010'}"
"Systemy przewodów rurowych z tworzyw sztucznych do podziemnego bezciśnieniowgo odwadniania i kanalizacji -- Polietylen (PE) -- Część 1: Specyfikacje rur, kształtek i systemu",PN-EN 12666-1+A1:2011,{'PN-EN 12666-1:2007'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Ditlenek chloru wytwarzany in situ,PN-EN 12671:2016-06,{'PN-EN 12671:2009'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Manganian(VII) potasu,PN-EN 12672:2016-06,{'PN-EN 12672:2009'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Peroksomonosiarczan(VI) potasu,PN-EN 12678:2016-06,{'PN-EN 12678:2009'}
Kleje do połączeń konstrukcyjnych -- Magazynowanie -- Definicje terminów i wyrażeń związanych z czasem użytkowania klejów do połączeń konstrukcyjnych i podobnych produktów,PN-EN 12701:2002,set()
"Kleje do papieru i tektury, opakowań i jednorazowych wyrobów higienicznych -- Oznaczanie skłonności do sklejania się w blok warstw potencjalnie przylepnych",PN-EN 12702:2002,{'PN-EN 12702:2002'}
"Kleje do papieru i tektury, opakowań i jednorazowych wyrobów higienicznych -- Oznaczanie elastyczności w niskiej temperaturze lub temperatury pękania na zimno",PN-EN 12703:2016-09,{'PN-EN 12703:2012'}
"Kleje do papieru i tektury, opakowań i jednorazowych wyrobów higienicznych -- Oznaczanie tworzenia się piany dla klejów wodnych",PN-EN 12704:2016-09,{'PN-EN 12704:2012'}
Kleje do skóry i materiałów obuwniczych -- Oznaczanie zmiany barwy powierzchni skór białych lub jasnych wskutek migracji,PN-EN 12705:2011,{'PN-EN 12705:2002'}
Kleje -- Metody badań hydraulicznie wiążących podłogowych zapraw szpachlowych i/lub wyrównujących -- Oznaczanie rozlewności,PN-EN 12706:2001,set()
Środki powierzchniowo czynne -- Oznaczanie zdolności pianotwórczych -- Metoda wytwarzania piany perforowanym krążkiem,PN-EN 12728:2001,set()
Klasyfikacja klejów termoutwardzalnych do drewna przeznaczonych do połączeń niekonstrukcyjnych,PN-EN 12765:2016-09,{'PN-EN 12765:2002'}
Przetwory naftowe i oleje zużyte -- Oznaczanie polichlorowanych bifenyli (PCB) i produktów podobnych -- Część 1: Rozdzielanie i oznaczanie wybranych kongenerów PCB metodą chromatografii gazowej (GC) z zastosowaniem detektora wychwytu elektronów (ECD),PN-EN 12766-1:2010,{'PN-EN 12766-1:2002'}
Przetwory naftowe i oleje zużyte -- Oznaczanie polichlorowanych bifenyli (PCB) i produktów podobnych -- Część 2: Obliczanie zawartości polichlorowanych bifenyli (PCB),PN-EN 12766-2:2011,{'PN-EN 12766-2:2002'}
Przetwory naftowe i oleje zużyte -- Oznaczanie polichlorowanych bifenyli (PCB) i produktów podobnych -- Część 3: Oznaczanie i identyfikacja polichlorowanych terfenyli (PCT) i polichlorowanych benzylotoluenów (PCBT) metodą chromatografii gazowej (GC) z zastosowaniem detektora wychwytu elektronów (ECD),PN-EN 12766-3:2009,"{'PN-EN 12766-3:2005', 'PN-EN 12766-3:2005/AC:2007'}"
"Techniczna ceramika zaawansowana -- Właściwości mechaniczne kompozytów ceramicznych w wysokiej temperaturze, w atmosferze gazów obojętnych -- Oznaczanie wytrzymałości na zginanie",PN-EN 12788:2006,{'PN-EN 12788:2006'}
"Techniczna ceramika zaawansowana -- Właściwości mechaniczne kompozytów ceramicznych w wysokiej temperaturze, w powietrzu pod ciśnieniem atmosferycznym -- Oznaczanie wytrzymałości na zginanie",PN-EN 12789:2004,{'PN-EN 12789:2003'}
"Transportowy system jakości -- Transport drogowy, kolejowy i wodny śródlądowy -- Wymagania systemu zarządzania jakością uzupełniające EN ISO 9001 w zakresie bezpieczeństwa w transporcie towarów niebezpiecznych",PN-EN 12798:2010,{'PN-EN 12798:2007'}
Zaprawy do spoinowania płytek -- Część 1: Oznaczanie odporności chemicznej zapraw na bazie żywic reaktywnych,PN-EN 12808-1:2010,{'PN-EN 12808-1:2008'}
Zaprawy do spoinowania płytek -- Część 2: Oznaczanie odporności na ścieranie,PN-EN 12808-2:2010,{'PN-EN 12808-2:2008'}
Zaprawy do spoinowania płytek -- Część 3: Oznaczanie wytrzymałości na zginanie i ściskanie,PN-EN 12808-3:2010,{'PN-EN 12808-3:2008'}
Zaprawy do spoinowania płytek -- Część 4: Oznaczanie skurczu,PN-EN 12808-4:2010,{'PN-EN 12808-4:2009'}
Zaprawy do spoinowania płytek -- Część 5: Oznaczanie absorpcji wody,PN-EN 12808-5:2010,{'PN-EN 12808-5:2008'}
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 1: Próba zginania,PN-EN 12814-1:2002,set()
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 2: Próba rozciągania,PN-EN 12814-2:2002,set()
Badania połączeń spajanych w półproduktach z tworzyw termoplastycznych -- Część 3: Próba pełzania podczas rozciągania,PN-EN 12814-3:2014-05,"{'PN-EN 12814-3:2002', 'PN-EN 12814-3:2002/A1:2005'}"
Badanie spawanych i zgrzewanych połączeń w półproduktach z tworzyw termoplastycznych -- Część 4: Badanie oddzierania,PN-EN 12814-4:2018-05,{'PN-EN 12814-4:2003'}
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 5: Badanie makroskopowe,PN-EN 12814-5:2002,set()
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 6: Próba rozciągania w niskiej temperaturze,PN-EN 12814-6:2002,set()
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 7: Próba rozciągania próbek z przewężeniem,PN-EN 12814-7:2004,{'PN-EN 12814-7:2003'}
Badania połączeń spawanych w półproduktach z tworzyw termoplastycznych -- Część 8: Wymagania,PN-EN 12814-8:2003,{'PN-EN 12814-8:2002'}
Środki powierzchniowo czynne -- Przygotowanie wody o znanej twardości wapniowej i magnezowej,PN-EN 12829:2011,{'PN-EN 12829:2000'}
Środki powierzchniowo czynne -- Oznaczanie liczby wody w produktach oksyalkilenowanych,PN-EN 12836:2003,set()
Asfalty i lepiszcza asfaltowe -- Oznaczanie czasu wypływu lepkościomierzem wypływowym -- Część 1: Emulsje asfaltowe,PN-EN 12846-1:2011,{'PN-EN 12846:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie czasu wypływu lepkościomierzem wypływowym -- Część 1: Emulsje asfaltowe,PN-EN 12846-1:2011,{'PN-EN 12846:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie czasu wypływu lepkościomierzem wypływowym -- Część 2: Upłynnione i fluksowane lepiszcza asfaltowe,PN-EN 12846-2:2011,{'PN-EN 13357:2003'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie sedymentacji emulsji asfaltowych,PN-EN 12847:2011,{'PN-EN 12847:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie stabilności emulsji asfaltowych podczas mieszania z cementem,PN-EN 12848:2011,{'PN-EN 12848:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie zdolności emulsji asfaltowych do penetrowania,PN-EN 12849:2011,{'PN-EN 12849:2009'}
Asfalty i lepiszcza asfaltowe -- Oznaczanie wartości pH emulsji asfaltowych,PN-EN 12850:2011,{'PN-EN 12850:2009'}
Chemikalia do uzdatniania wody przeznaczonej do spożycia -- Tlen,PN-EN 12876:2015-05,{'PN-EN 12876:2009'}
Materiały barwiące do tworzyw sztucznych -- Oznaczanie stabilności barwy pod wpływem temperatury podczas przetwarzania materiałów barwiących w tworzywach sztucznych -- Część 1: Ogólne wprowadzenie,PN-EN 12877-1:2001,set()
Materiały barwiące do tworzyw sztucznych -- Oznaczanie stabilności barwy pod wpływem temperatury podczas przetwarzania materiałów barwiących w tworzywach sztucznych -- Część 2: Oznaczanie przez formowanie wtryskowe,PN-EN 12877-2:2001,set()
Materiały barwiące do tworzyw sztucznych -- Oznaczanie stabilności barwy pod wpływem temperatury podczas przetwarzania materiałów barwiących w tworzywach sztucznych -- Część 3: Oznaczanie z zastosowaniem suszarki,PN-EN 12877-3:2001,set()
Materiały barwiące do tworzyw sztucznych -- Oznaczanie stabilności barwy pod wpływem temperatury podczas przetwarzania materiałów barwiących w tworzywach sztucznych -- Część 4: Oznaczanie z zastosowaniem dwuwalcarki,PN-EN 12877-4:2001,set()
Pigmenty do barwienia materiałów budowlanych opartych na cemencie i/lub wapnie -- Wymagania i metody badań,PN-EN 12878:2014-05,"{'PN-EN 12878:2006', 'PN-EN 12878:2006/Ap1:2007'}"
Pigmenty do barwienia materiałów budowlanych opartych na cemencie i/lub wapnie -- Wymagania i metody badań,PN-EN 12878:2014-05,"{'PN-EN 12878:2006', 'PN-EN 12878:2006/Ap1:2007'}"
